"TASK_NAME1","TASK_NAME2","SCEN_TASK_NO","SOURCE","TASK_STATUS","SOURCE_1","TARGET","EXEC_SQL_ON_SOURCE","EXEC_SQL_ON_TARGET","NUMBER_OF_INSERT","NUMBER_OF_UPDATE","NUMBER_OF_DELETE","NB_ERR"
"Variable","IS_INCREMENTAL",1,0,"D","","BIAPPS_DW","","SELECT	(CASE
WHEN COUNT(*)>0 THEN 'Y'
ELSE 'N'
END )
FROM	PRXBI_DW.W_ETL_LOAD_DATES
WHERE	PACKAGE_NAME = 'SILOS_SIL_GLACCOUNTDIMENSION'
AND	(DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
OR	DATASOURCE_NUM_ID=#BIAPPS.WH_DATASOURCE_NUM_ID)
AND 	ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'
AND	COMMITTED='1'",0,0,0,0
"SERIAL","MAP_MAIN",10,4,"M","","","","",0,0,0,0
"SERIAL","EU",20,4,"M","","","","",0,0,0,0
"Initialization and log header","IKM BIAPPS Oracle Slowly Changing Dimension",30,0,"D","BIAPPS_DW","BIAPPS_DW","","/* ===================================================
--  IKM BIAPPS Oracle Slowly Changing Dimension
--  11.1.1.11.1.20160419
-- ===================================================

---------------------------------------------------
SCD Dimension Column Behaviour
---------------------------------------------------
Type 1 Columns (updated to match current record if UPDATE_ALL_HISTORY is set):
[SCD Behaviour - overwrite on change, not OBI System Column (on column level flexfield)]
	GL_ACCOUNT_CAT_CODE
	FIN_STMT_ITEM_CODE
	CHART_OF_ACCOUNTS
	CONCATENATED_SEGMENT_VALUE
	PROFIT_CENTER_NUM
	PROFIT_CENTER_ATTRIB
	BALANCING_SEGMENT_NUM
	BALANCING_SEGMENT_ATTRIB
	COST_CENTER_NUM
	COST_CENTER_ATTRIB
	NATURAL_ACCOUNT_NUM
	NATURAL_ACCOUNT_ATTRIB
	MANAGEMENT_SEGMENT_NUM
	COMPANY_CODE
	COMPANY_NAME
	GROUP_ACCOUNT_NUM
	RECON_TYPE_CODE
	TAX_CAT_CODE
	TAX_CAT_NAME
	CURRENCY_CODE
	CURRENCY_NAME
	ACTIVE_FLG
	HIER1_WID
	HIER2_WID
	HIER3_WID
	HIER4_WID
	HIER5_WID
	HIER6_WID
	ACCOUNT_SEG1_CODE
	ACCOUNT_SEG1_ATTRIB
	ACCOUNT_SEG1_INTEGRATION_ID
	ACCOUNT_SEG2_CODE
	ACCOUNT_SEG2_ATTRIB
	ACCOUNT_SEG2_INTEGRATION_ID
	ACCOUNT_SEG3_CODE
	ACCOUNT_SEG3_ATTRIB
	ACCOUNT_SEG3_INTEGRATION_ID
	ACCOUNT_SEG4_CODE
	ACCOUNT_SEG4_ATTRIB
	ACCOUNT_SEG4_INTEGRATION_ID
	ACCOUNT_SEG5_CODE
	ACCOUNT_SEG5_ATTRIB
	ACCOUNT_SEG5_INTEGRATION_ID
	ACCOUNT_SEG6_CODE
	ACCOUNT_SEG6_ATTRIB
	ACCOUNT_SEG6_INTEGRATION_ID
	ACCOUNT_SEG7_CODE
	ACCOUNT_SEG7_ATTRIB
	ACCOUNT_SEG7_INTEGRATION_ID
	ACCOUNT_SEG8_CODE
	ACCOUNT_SEG8_ATTRIB
	ACCOUNT_SEG8_INTEGRATION_ID
	ACCOUNT_SEG9_CODE
	ACCOUNT_SEG9_ATTRIB
	ACCOUNT_SEG9_INTEGRATION_ID
	ACCOUNT_SEG10_CODE
	ACCOUNT_SEG10_ATTRIB
	ACCOUNT_SEG10_INTEGRATION_ID
	ACCOUNT_SEG11_CODE
	ACCOUNT_SEG11_ATTRIB
	ACCOUNT_SEG11_INTEGRATION_ID
	ACCOUNT_SEG12_CODE
	ACCOUNT_SEG12_ATTRIB
	ACCOUNT_SEG12_INTEGRATION_ID
	ACCOUNT_SEG13_CODE
	ACCOUNT_SEG13_ATTRIB
	ACCOUNT_SEG13_INTEGRATION_ID
	ACCOUNT_SEG14_CODE
	ACCOUNT_SEG14_ATTRIB
	ACCOUNT_SEG14_INTEGRATION_ID
	ACCOUNT_SEG15_CODE
	ACCOUNT_SEG15_ATTRIB
	ACCOUNT_SEG15_INTEGRATION_ID
	ACCOUNT_SEG16_CODE
	ACCOUNT_SEG16_ATTRIB
	ACCOUNT_SEG16_INTEGRATION_ID
	ACCOUNT_SEG17_CODE
	ACCOUNT_SEG17_ATTRIB
	ACCOUNT_SEG17_INTEGRATION_ID
	ACCOUNT_SEG18_CODE
	ACCOUNT_SEG18_ATTRIB
	ACCOUNT_SEG18_INTEGRATION_ID
	ACCOUNT_SEG19_CODE
	ACCOUNT_SEG19_ATTRIB
	ACCOUNT_SEG19_INTEGRATION_ID
	ACCOUNT_SEG20_CODE
	ACCOUNT_SEG20_ATTRIB
	ACCOUNT_SEG20_INTEGRATION_ID
	ACCOUNT_SEG21_CODE
	ACCOUNT_SEG21_ATTRIB
	ACCOUNT_SEG21_INTEGRATION_ID
	ACCOUNT_SEG22_CODE
	ACCOUNT_SEG22_ATTRIB
	ACCOUNT_SEG22_INTEGRATION_ID
	ACCOUNT_SEG23_CODE
	ACCOUNT_SEG23_ATTRIB
	ACCOUNT_SEG23_INTEGRATION_ID
	ACCOUNT_SEG24_CODE
	ACCOUNT_SEG24_ATTRIB
	ACCOUNT_SEG24_INTEGRATION_ID
	ACCOUNT_SEG25_CODE
	ACCOUNT_SEG25_ATTRIB
	ACCOUNT_SEG25_INTEGRATION_ID
	ACCOUNT_SEG26_CODE
	ACCOUNT_SEG26_ATTRIB
	ACCOUNT_SEG26_INTEGRATION_ID
	ACCOUNT_SEG27_CODE
	ACCOUNT_SEG27_ATTRIB
	ACCOUNT_SEG27_INTEGRATION_ID
	ACCOUNT_SEG28_CODE
	ACCOUNT_SEG28_ATTRIB
	ACCOUNT_SEG28_INTEGRATION_ID
	ACCOUNT_SEG29_CODE
	ACCOUNT_SEG29_ATTRIB
	ACCOUNT_SEG29_INTEGRATION_ID
	ACCOUNT_SEG30_CODE
	ACCOUNT_SEG30_ATTRIB
	ACCOUNT_SEG30_INTEGRATION_ID
	CREATED_BY_WID
	CHANGED_BY_WID
	CREATED_ON_DT
	CHANGED_ON_DT
	AUX1_CHANGED_ON_DT
	AUX2_CHANGED_ON_DT
	AUX3_CHANGED_ON_DT
	AUX4_CHANGED_ON_DT
	SRC_EFF_FROM_DT
	SRC_EFF_TO_DT
	DELETE_FLG
	W_INSERT_DT
	W_UPDATE_DT
	ETL_PROC_WID
	SET_ID
	TENANT_ID
	X_CUSTOM
	PROJECT_CODE
	PROJECT_ATTRIB
	PROJECT_INTEGRATION_ID
	PROGRAM_CODE
	PROGRAM_ATTRIB
	PROGRAM_INTEGRATION_ID
Type 2 Columns (used to detect a change for a new record if TYPE2_FLG is set):
[SCD Behaviour - insert new row on change, not mapped on TARGET]
Change columns (used to exclude unchanged rows from processing):
[Updateable columns, not mapped on TARGET, OBI Change Column (on column level flexfield)
 or if no OBI Change Columns flagged then all updateable columns not mapped on TARGET]
	CHANGED_ON_DT
	AUX1_CHANGED_ON_DT
	AUX2_CHANGED_ON_DT
	AUX3_CHANGED_ON_DT
	AUX4_CHANGED_ON_DT

Has ROW_WID:	Y
 
SCD1 column:
[OBI SCD1 column (column level flexfield), not mapped on TARGET]
	Not found
ANALYZE_AFTER_INS_NEW_ROWS Option is Set to :	FULL
Bulk Mode Option:	N
DELETE_FLG column present:	Y
Error Logging Option:		N
Setting error table name to E$_2625278_1
Error Logging Supported:		Y
Is this a Dim ETL:		Y
Auto Correction Enabled:		Y

---------------------------------------------------
Work Objects
---------------------------------------------------
Setting flow table name to PRXBI_DW.I$_2625278_1
---------------------------------------------------
Flex allocation change detection logic
---------------------------------------------------

--Exception Occured while running Flex SQL. Please verify all tables are exists in the Warehouse Schema  :java.sql.SQLSyntaxErrorException: ORA-00904: ""TO_DATE_FORMAT"": invalid identifier

Adding Flex allocation change detection Predicate :	

DATASOURCE_NUM_ID column is part of the Unique Key

=================================================== */  ",0,0,0,0
"Diagnostics - Raise Error for Unacceptable Errors (Dim ETL)","CKM BIAPPS Oracle",290,0,"D","BIAPPS_DW","BIAPPS_DW","","  ",0,0,0,0
"Diagnostics - Check Load Dates for current ETL_PROC_WID","IKM BIAPPS Oracle Slowly Changing Dimension",40,0,"D","BIAPPS_DW","BIAPPS_DW","","BEGIN
--Check if records exists in W_ETL_LOAD_DATE TABLE for the current ETL_PROC_WID
--ETL being executed outside a generated Load Plan

NULL;
END;  ",0,0,0,0
"Run Alter Session Commands","IKM BIAPPS Oracle Slowly Changing Dimension",50,0,"D","BIAPPS_DW","BIAPPS_DW","","BEGIN

  NULL; 
END;  ",0,0,0,0
"Alter Session - Char Semantics","IKM BIAPPS Oracle Slowly Changing Dimension",60,0,"D","BIAPPS_DW","BIAPPS_DW","","

/* Below statement ensure table lengths are proper for Oracle Unicode Enabled DBs.
 */
BEGIN
EXECUTE IMMEDIATE 'ALTER SESSION SET NLS_DATE_FORMAT=''DD/MON/YYYY HH24:MI:SS''';
EXECUTE IMMEDIATE 'ALTER SESSION SET NLS_LENGTH_SEMANTICS=CHAR'  ; 
END;

  ",0,0,0,0
"Diagnostics - Drop Error Table","IKM BIAPPS Oracle Slowly Changing Dimension",70,0,"M","BIAPPS_DW","BIAPPS_DW",""," drop table  PRXBI_DW.E$_2625278_1  purge    ",0,0,0,0
"Diagnostics - Create Error Table","IKM BIAPPS Oracle Slowly Changing Dimension",80,0,"D","BIAPPS_DW","BIAPPS_DW","","
/* Creates the error table during Error Logging Mode */
CREATE TABLE PRXBI_DW.E$_2625278_1
( 
	ORA_ERR_NUMBER$		NUMBER,         
	ORA_ERR_MESG$		VARCHAR2(2000),
	ORA_ERR_ROWID$		UROWID,
	ORA_ERR_OPTYP$		VARCHAR2(2),
	ORA_ERR_TAG$		VARCHAR2(2000),
	IND_UPDATE			VARCHAR2(10),
	DIAGNOSTIC_ROWID		UROWID,
	ERROR_TYPE_IND		VARCHAR2(100),	
	AUTOCORRECT_IND		VARCHAR2(100)  DEFAULT 'N',
	AUTOCORRECT_CODE		VARCHAR2(2000),
	AUTOCORRECT_DESC		VARCHAR2(2000),
	COMMITTED			VARCHAR2(10) DEFAULT '0',
	ROW_WID		 VARCHAR2(4000),
	 GL_ACCOUNT_CAT_CODE		 VARCHAR2(4000),
	 FIN_STMT_ITEM_CODE		 VARCHAR2(4000),
	 CHART_OF_ACCOUNTS		 VARCHAR2(4000),
	 CONCATENATED_SEGMENT_VALUE		 VARCHAR2(4000),
	 PROFIT_CENTER_NUM		 VARCHAR2(4000),
	 PROFIT_CENTER_ATTRIB		 VARCHAR2(4000),
	 BALANCING_SEGMENT_NUM		 VARCHAR2(4000),
	 BALANCING_SEGMENT_ATTRIB		 VARCHAR2(4000),
	 COST_CENTER_NUM		 VARCHAR2(4000),
	 COST_CENTER_ATTRIB		 VARCHAR2(4000),
	 NATURAL_ACCOUNT_NUM		 VARCHAR2(4000),
	 NATURAL_ACCOUNT_ATTRIB		 VARCHAR2(4000),
	 MANAGEMENT_SEGMENT_NUM		 VARCHAR2(4000),
	 COMPANY_CODE		 VARCHAR2(4000),
	 COMPANY_NAME		 VARCHAR2(4000),
	 GROUP_ACCOUNT_NUM		 VARCHAR2(4000),
	 RECON_TYPE_CODE		 VARCHAR2(4000),
	 TAX_CAT_CODE		 VARCHAR2(4000),
	 TAX_CAT_NAME		 VARCHAR2(4000),
	 CURRENCY_CODE		 VARCHAR2(4000),
	 CURRENCY_NAME		 VARCHAR2(4000),
	 ACTIVE_FLG		 VARCHAR2(4000),
	 HIER1_WID		 VARCHAR2(4000),
	 HIER2_WID		 VARCHAR2(4000),
	 HIER3_WID		 VARCHAR2(4000),
	 HIER4_WID		 VARCHAR2(4000),
	 HIER5_WID		 VARCHAR2(4000),
	 HIER6_WID		 VARCHAR2(4000),
	 ACCOUNT_SEG1_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG1_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG1_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG2_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG2_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG2_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG3_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG3_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG3_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG4_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG4_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG4_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG5_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG5_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG5_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG6_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG6_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG6_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG7_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG7_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG7_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG8_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG8_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG8_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG9_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG9_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG9_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG10_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG10_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG10_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG11_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG11_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG11_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG12_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG12_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG12_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG13_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG13_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG13_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG14_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG14_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG14_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG15_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG15_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG15_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG16_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG16_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG16_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG17_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG17_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG17_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG18_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG18_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG18_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG19_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG19_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG19_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG20_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG20_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG20_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG21_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG21_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG21_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG22_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG22_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG22_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG23_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG23_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG23_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG24_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG24_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG24_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG25_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG25_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG25_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG26_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG26_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG26_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG27_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG27_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG27_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG28_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG28_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG28_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG29_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG29_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG29_INTEGRATION_ID		 VARCHAR2(4000),
	 ACCOUNT_SEG30_CODE		 VARCHAR2(4000),
	 ACCOUNT_SEG30_ATTRIB		 VARCHAR2(4000),
	 ACCOUNT_SEG30_INTEGRATION_ID		 VARCHAR2(4000),
	 CREATED_BY_WID		 VARCHAR2(4000),
	 CHANGED_BY_WID		 VARCHAR2(4000),
	 CREATED_ON_DT		 VARCHAR2(4000),
	 CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX1_CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX2_CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX3_CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX4_CHANGED_ON_DT		 VARCHAR2(4000),
	 SRC_EFF_FROM_DT		 VARCHAR2(4000),
	 SRC_EFF_TO_DT		 VARCHAR2(4000),
	 EFFECTIVE_FROM_DT		 VARCHAR2(4000),
	 EFFECTIVE_TO_DT		 VARCHAR2(4000),
	 
	 CURRENT_FLG		 VARCHAR2(4000),
	 W_INSERT_DT		 VARCHAR2(4000),
	 W_UPDATE_DT		 VARCHAR2(4000),
	 DATASOURCE_NUM_ID		 VARCHAR2(4000),
	 ETL_PROC_WID		 VARCHAR2(4000),
	 INTEGRATION_ID		 VARCHAR2(4000),
	 SET_ID		 VARCHAR2(4000),
	 TENANT_ID		 VARCHAR2(4000),
	 X_CUSTOM		 VARCHAR2(4000),
	 PROJECT_CODE		 VARCHAR2(4000),
	 PROJECT_ATTRIB		 VARCHAR2(4000),
	 PROJECT_INTEGRATION_ID		 VARCHAR2(4000),
	 PROGRAM_CODE		 VARCHAR2(4000),
	 PROGRAM_ATTRIB		 VARCHAR2(4000),
	 PROGRAM_INTEGRATION_ID		 VARCHAR2(4000),
	DELETE_FLG			VARCHAR2(4000)
) NOLOGGING
  ",0,0,0,0
