"TASK_NAME1","TASK_NAME2","SCEN_TASK_NO","SOURCE","TASK_STATUS","SOURCE_1","TARGET","EXEC_SQL_ON_SOURCE","EXEC_SQL_ON_TARGET","NUMBER_OF_INSERT","NUMBER_OF_UPDATE","NUMBER_OF_DELETE","NB_ERR"
"Variable","IS_INCREMENTAL",1,0,"D","","BIAPPS_DW","","SELECT	(CASE
WHEN COUNT(*)>0 THEN 'Y'
ELSE 'N'
END )
FROM	PRXBI_DW.W_ETL_LOAD_DATES
WHERE	PACKAGE_NAME = 'SDE_ORAR122_ADAPTOR_SDE_ORA_GLBALANCEFACT'
AND	(DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
OR	DATASOURCE_NUM_ID=#BIAPPS.WH_DATASOURCE_NUM_ID)
AND 	ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'
AND	COMMITTED='1'",0,0,0,0
"Variable","LAST_EXTRACT_DATE",2,0,"D","","BIAPPS_DW","","SELECT
COALESCE(TO_CHAR(MIN(LAST_MAX_DATE), 'YYYY-MM-DD HH24:MI:SS'),'1970-01-01 00:00:00')
FROM   PRXBI_DW.W_ETL_LOAD_DATES
WHERE PACKAGE_NAME = 'SDE_ORAR122_ADAPTOR_SDE_ORA_GLBALANCEFACT'
AND       DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
AND       ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'",0,0,0,0
"SERIAL","MAP_MAIN",10,136,"M","","","","",1790,0,0,0
"SERIAL","EU",20,124,"M","","","","",0,0,0,0
"Initialization and log header","LKM BIAPPS SQL to Oracle (Multi Transport)",30,0,"D","EBSDEV2","BIAPPS_DW","","/* ===================================================
-- LKM BIAPPS SQL to Oracle
-- 11.1.1.8.0.20140418
-- ===================================================
---------------------------------------------------
KM Options
---------------------------------------------------
Use DB Link:		N
SDS deployed:	N
Alter session:	NOT_APPLICABLE

---------------------------------------------------
Work Objects
---------------------------------------------------
Setting source set number to 0FILTER
Setting work object name to PRXBI_DW.C$_2623812_2_0
---------------------------------------------------
Load Type
---------------------------------------------------
Load Type:		NORMAL
Work Object Type:	TABLE

=================================================== */  ",0,0,0,0
"Drop work object","LKM BIAPPS SQL to Oracle (Multi Transport)",40,0,"M","EBSDEV2","BIAPPS_DW","","DROP TABLE PRXBI_DW.C$_2623812_2_0 purge  ",0,0,0,0
"Run Alter Session Commands-SRC","LKM BIAPPS SQL to Oracle (Multi Transport)",50,0,"D","EBSDEV2","BIAPPS_DW","

/* No alter session commands to run on source */

  ","",0,0,0,0
"Run Alter Session Commands-SRC (DB Link Mode)","LKM BIAPPS SQL to Oracle (Multi Transport)",60,0,"D","EBSDEV2","BIAPPS_DW","

/* Applicable only when altering source session over DB Link */

  ","",0,0,0,0
"Run Alter Session Commands-SRC (DB Link)","LKM BIAPPS SQL to Oracle (Multi Transport)",70,0,"D","EBSDEV2","BIAPPS_DW","","
/* Applicable only when altering source session over DB Link */
  ",0,0,0,0
"Run Alter Session Commands-SRC (DB Link)","LKM BIAPPS SQL to Oracle (Multi Transport)",80,0,"D","EBSDEV2","BIAPPS_DW","","
/* Applicable only when altering source session over DB Link */
  ",0,0,0,0
"Run Alter Session Commands-TGT","LKM BIAPPS SQL to Oracle (Multi Transport)",90,0,"D","EBSDEV2","BIAPPS_DW","","
/* No alter session commands to run on target */
  ",0,0,0,0
"Create view on source","LKM BIAPPS SQL to Oracle (Multi Transport)",100,0,"D","EBSDEV2","BIAPPS_DW","
/* Db link option not chosen  or SDS is deployed*/
  ","",0,0,0,0
"Alter Session - Char Semantics","LKM BIAPPS SQL to Oracle (Multi Transport)",110,0,"D","EBSDEV2","BIAPPS_DW","","/* Below statement ensure table lengths are proper for Oracle Unicode Enabled DBs. */
ALTER SESSION SET NLS_LENGTH_SEMANTICS=CHAR
 ",0,0,0,0
"Create work object","LKM BIAPPS SQL to Oracle (Multi Transport)",120,0,"D","EBSDEV2","BIAPPS_DW","","
create table PRXBI_DW.C$_2623812_2_0
(
	ACTUAL_FLAG	VARCHAR2(4000 BYTE) NULL,
	BALANCE_TYPE_INDICATOR	VARCHAR2(4000 BYTE) NULL,
	LAST_UPDATE_DATE_BAL	DATE NULL,
	LAST_UPDATE_DATE_PERIODS	DATE NULL,
	LAST_UPDATE_DATE_LED	DATE NULL,
	END_DATE	DATE NULL,
	PERIOD_ID	VARCHAR2(4000 BYTE) NULL,
	FINANCIAL_GL_FLG	VARCHAR2(4000 BYTE) NULL,
	BUDGETARY_CONTROL_FLG	VARCHAR2(4000 BYTE) NULL,
	BALANCE_TYPE_ID	VARCHAR2(4000 BYTE) NULL,
	LEDGER_CURRENCY_CODE	VARCHAR2(4000 BYTE) NULL,
	ADJUSTMENT_PERIOD_FLAG	VARCHAR2(4000 BYTE) NULL,
	GL_ACCOUNT_ID	VARCHAR2(4000 BYTE) NULL,
	BALANCE_ACCT_AMT	NUMBER NULL,
	BALANCE_LOC_AMT	NUMBER NULL,
	ACTIVITY_ACCT_AMT	NUMBER NULL,
	ACTIVITY_LOC_AMT	NUMBER NULL,
	ACCT_CURR_CODE	VARCHAR2(4000 BYTE) NULL,
	INTEGRATION_ID	VARCHAR2(4000 BYTE) NULL,
	TRANSLATED_FLAG	VARCHAR2(4000 BYTE) NULL,
	SUMMARY_ACCOUNT_FLAG	VARCHAR2(4000 BYTE) NULL,
	LEDGER_ID	VARCHAR2(4000 BYTE) NULL,
	BUDGET_LEDGER_ID	VARCHAR2(4000 BYTE) NULL,
	CARRY_FORWARD_ACCT_AMT	NUMBER NULL,
	CARRY_FORWARD_LOC_AMT	NUMBER NULL
)
NOLOGGING
  ",0,0,0,0
