"TASK_NAME1","TASK_NAME2","SCEN_TASK_NO","SOURCE","TASK_STATUS","SOURCE_1","TARGET","EXEC_SQL_ON_SOURCE","EXEC_SQL_ON_TARGET","NUMBER_OF_INSERT","NUMBER_OF_UPDATE","NUMBER_OF_DELETE","NB_ERR"
"Variable","IS_INCREMENTAL",1,0,"D","","BIAPPS_DW","","SELECT	(CASE
WHEN COUNT(*)>0 THEN 'Y'
ELSE 'N'
END )
FROM	PRXBI_DW.W_ETL_LOAD_DATES
WHERE	PACKAGE_NAME = 'SILOS_SIL_LEDGERDIMENSION'
AND	(DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
OR	DATASOURCE_NUM_ID=#BIAPPS.WH_DATASOURCE_NUM_ID)
AND 	ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'
AND	COMMITTED='1'",0,0,0,0
"SERIAL","MAP_MAIN",10,2,"M","","","","",0,0,0,0
"Run Alter Session Commands","IKM BIAPPS Oracle Incremental Update",40,0,"D","BIAPPS_DW","BIAPPS_DW","","BEGIN

  NULL; 
END;   ",0,0,0,0
"Alter Session - Char Semantics","IKM BIAPPS Oracle Incremental Update",50,0,"D","BIAPPS_DW","BIAPPS_DW","","

/* Below statement ensure table lengths are proper for Oracle Unicode Enabled DBs.
 */
BEGIN
EXECUTE IMMEDIATE 'ALTER SESSION SET NLS_DATE_FORMAT=''DD/MON/YYYY HH24:MI:SS''';
EXECUTE IMMEDIATE 'ALTER SESSION SET NLS_LENGTH_SEMANTICS=CHAR'  ; 
END;

  ",0,0,0,0
"Validate KM options","IKM BIAPPS Oracle Incremental Update",80,0,"D","BIAPPS_DW","BIAPPS_DW","","# Validating KM options
  ",0,0,0,0
"Create flow table I$","IKM BIAPPS Oracle Incremental Update",120,0,"D","BIAPPS_DW","BIAPPS_DW","","
/* Creates the flow table with the parameters specified in the FLOW_TABLE_OPTIONS option */
create table PRXBI_DW.I$_2624982_1
(
	DATASOURCE_NUM_ID		NUMBER(10,0) NULL,
	INTEGRATION_ID		VARCHAR2(80) NULL,
	ROW_WID		NUMBER NULL,
	LEDGER_NAME		VARCHAR2(4000) NULL,
	LEDGER_SHORT_NAME		VARCHAR2(4000) NULL,
	LEDGER_DESC		VARCHAR2(4000) NULL,
	CHART_OF_ACCOUNTS		VARCHAR2(4000) NULL,
	CURRENCY_CODE		VARCHAR2(4000) NULL,
	CALENDER_NAME		VARCHAR2(4000) NULL,
	SLA_ACCOUNTING_METHOD_CODE		VARCHAR2(4000) NULL,
	PERIOD_TYPE		VARCHAR2(4000) NULL,
	LEDGER_CATEGORY_CODE		VARCHAR2(4000) NULL,
	SET_ID		VARCHAR2(4000) NULL,
	CREATED_BY_WID		NUMBER NULL,
	CHANGED_BY_WID		NUMBER NULL,
	CREATED_ON_DT		DATE NULL,
	CHANGED_ON_DT		DATE NULL,
	AUX1_CHANGED_ON_DT		DATE NULL,
	AUX2_CHANGED_ON_DT		DATE NULL,
	AUX3_CHANGED_ON_DT		DATE NULL,
	AUX4_CHANGED_ON_DT		DATE NULL,
	DELETE_FLG		CHAR(1) NULL,
	W_INSERT_DT		DATE NULL,
	W_UPDATE_DT		DATE NULL,
	ETL_PROC_WID		NUMBER NULL,
	TENANT_ID		VARCHAR2(4000) NULL,
	X_CUSTOM		VARCHAR2(4000) NULL,
	IND_UPDATE		CHAR(1)
) NOCOMPRESS
NOLOGGING
  ",0,0,0,0
"SERIAL","EU",20,2,"M","","","","",0,0,0,0
"Initialization and log header","IKM BIAPPS Oracle Incremental Update",30,0,"D","BIAPPS_DW","BIAPPS_DW","","/* ===================================================
--  IKM BIAPPS Oracle Incremental Update
--  11.1.1.11.1.20181011
-- ===================================================
---------------------------------------------------
KM Options and Behaviour
---------------------------------------------------
Uses Change Indicator:		Y
DATASOURCE_NUM_ID column is part of the Unique Key
ROW_WID column present:	Y
Bulk Mode Option:		N
DELETE_FLG column present:	Y
Error Logging Option:		N
Setting error table name to E$_2624982_1
Error Logging Supported:		Y
Is this a Dim ETL:		Y
Auto Correction Enabled:		Y
Bypass Flow Table:		N
Target Type:			OTHER
---------------------------------------------------
Work Objects
---------------------------------------------------
Setting flow table name to PRXBI_DW.I$_2624982_1
---------------------------------------------------
Flex allocation change detection logic
---------------------------------------------------

--Exception Occured while running Flex SQL. Please verify all tables are exists in the Warehouse Schema  :java.sql.SQLSyntaxErrorException: ORA-00904: ""TO_DATE_FORMAT"": invalid identifier

Adding Flex allocation change detection Predicate KM option Value  : N
Adding Flex allocation change detection Predicate :	

=================================================== */   ",0,0,0,0
"Diagnostics - Drop Error Table","IKM BIAPPS Oracle Incremental Update",60,0,"M","BIAPPS_DW","BIAPPS_DW",""," drop table  PRXBI_DW.E$_2624982_1  purge    ",0,0,0,0
"Table Maintenance - Clean Truncated Entries","IKM BIAPPS Oracle Incremental Update",90,0,"D","BIAPPS_DW","BIAPPS_DW","","
  ",0,0,0,0
