"TASK_NAME1","TASK_NAME2","SCEN_TASK_NO","SOURCE","TASK_STATUS","SOURCE_1","TARGET","EXEC_SQL_ON_SOURCE","EXEC_SQL_ON_TARGET","NUMBER_OF_INSERT","NUMBER_OF_UPDATE","NUMBER_OF_DELETE","NB_ERR"
"Variable","IS_INCREMENTAL",1,0,"D","","BIAPPS_DW","","SELECT	(CASE
WHEN COUNT(*)>0 THEN 'Y'
ELSE 'N'
END )
FROM	PRXBI_DW.W_ETL_LOAD_DATES
WHERE	PACKAGE_NAME = 'SDE_ORAR122_ADAPTOR_SDE_ORA_LEDGERDIMENSION'
AND	(DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
OR	DATASOURCE_NUM_ID=#BIAPPS.WH_DATASOURCE_NUM_ID)
AND 	ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'
AND	COMMITTED='1'",0,0,0,0
"Variable","LAST_EXTRACT_DATE",2,0,"D","","BIAPPS_DW","","SELECT
COALESCE(TO_CHAR(MIN(LAST_MAX_DATE), 'YYYY-MM-DD HH24:MI:SS'),'1970-01-01 00:00:00')
FROM   PRXBI_DW.W_ETL_LOAD_DATES
WHERE PACKAGE_NAME = 'SDE_ORAR122_ADAPTOR_SDE_ORA_LEDGERDIMENSION'
AND       DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
AND       ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'",0,0,0,0
"SERIAL","MAP_MAIN",10,2,"M","","","","",107,0,0,0
"SERIAL","EU",20,1,"M","","","","",0,0,0,0
"Initialization and log header","LKM BIAPPS SQL to Oracle (Multi Transport)",30,0,"D","EBSDEV2","BIAPPS_DW","","/* ===================================================
-- LKM BIAPPS SQL to Oracle
-- 11.1.1.8.0.20140418
-- ===================================================
---------------------------------------------------
KM Options
---------------------------------------------------
Use DB Link:		N
SDS deployed:	N
Alter session:	NOT_APPLICABLE

---------------------------------------------------
Work Objects
---------------------------------------------------
Setting source set number to 0SQ_GL_LEDGERS
Setting work object name to PRXBI_DW.C$_2624261_2_0
---------------------------------------------------
Load Type
---------------------------------------------------
Load Type:		NORMAL
Work Object Type:	TABLE

=================================================== */  ",0,0,0,0
"Drop work object","LKM BIAPPS SQL to Oracle (Multi Transport)",40,0,"M","EBSDEV2","BIAPPS_DW","","DROP TABLE PRXBI_DW.C$_2624261_2_0 purge  ",0,0,0,0
"Run Alter Session Commands-SRC","LKM BIAPPS SQL to Oracle (Multi Transport)",50,0,"D","EBSDEV2","BIAPPS_DW","

/* No alter session commands to run on source */

  ","",0,0,0,0
"Run Alter Session Commands-SRC (DB Link Mode)","LKM BIAPPS SQL to Oracle (Multi Transport)",60,0,"D","EBSDEV2","BIAPPS_DW","

/* Applicable only when altering source session over DB Link */

  ","",0,0,0,0
"Run Alter Session Commands-SRC (DB Link)","LKM BIAPPS SQL to Oracle (Multi Transport)",70,0,"D","EBSDEV2","BIAPPS_DW","","
/* Applicable only when altering source session over DB Link */
  ",0,0,0,0
"Run Alter Session Commands-SRC (DB Link)","LKM BIAPPS SQL to Oracle (Multi Transport)",80,0,"D","EBSDEV2","BIAPPS_DW","","
/* Applicable only when altering source session over DB Link */
  ",0,0,0,0
"Run Alter Session Commands-TGT","LKM BIAPPS SQL to Oracle (Multi Transport)",90,0,"D","EBSDEV2","BIAPPS_DW","","
/* No alter session commands to run on target */
  ",0,0,0,0
"Create view on source","LKM BIAPPS SQL to Oracle (Multi Transport)",100,0,"D","EBSDEV2","BIAPPS_DW","
/* Db link option not chosen  or SDS is deployed*/
  ","",0,0,0,0
