"TASK_NAME1","TASK_NAME2","SCEN_TASK_NO","SOURCE","TASK_STATUS","SOURCE_1","TARGET","EXEC_SQL_ON_SOURCE","EXEC_SQL_ON_TARGET","NUMBER_OF_INSERT","NUMBER_OF_UPDATE","NUMBER_OF_DELETE","NB_ERR"
"Variable","IS_INCREMENTAL",1,0,"D","","BIAPPS_DW","","SELECT	(CASE
WHEN COUNT(*)>0 THEN 'Y'
ELSE 'N'
END )
FROM	PRXBI_DW.W_ETL_LOAD_DATES
WHERE	PACKAGE_NAME = 'SILOS_SIL_GLSEGMENTDIMENSION'
AND	(DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
OR	DATASOURCE_NUM_ID=#BIAPPS.WH_DATASOURCE_NUM_ID)
AND 	ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'
AND	COMMITTED='1'",0,0,0,0
"SERIAL","MAP_MAIN",10,4,"M","","","","",0,0,0,0
"Insert reference dates to History Table","IKM BIAPPS Oracle Slowly Changing Dimension",490,0,"D","BIAPPS_DW","BIAPPS_DW","","/* Insert/Update reference dates into History Table */
insert into PRXBI_DW.W_ETL_LOAD_DATES_LOG
 (DATASOURCE_NUM_ID,
  PACKAGE_NAME,
  TARGET_TABLE_NAME,
  ETL_USAGE_CODE,
  ETL_PROC_WID,
  LOAD_PLAN_ID,
  SESSION_ID,
  WIP_LOAD_START_DATE,
  LAST_MAX_DATE,
  ETL_LOAD_DATE,
  COMMITTED
 )
select
  DATASOURCE_NUM_ID,
  PACKAGE_NAME,
  TARGET_TABLE_NAME,
  ETL_USAGE_CODE,
  ETL_PROC_WID,
  LOAD_PLAN_ID,
  2625027,
  WIP_LOAD_START_DATE,
  LAST_MAX_DATE,
  ETL_LOAD_DATE,
  COMMITTED
FROM PRXBI_DW.W_ETL_LOAD_DATES
where DATASOURCE_NUM_ID = :BIAPPS.DATASOURCE_NUM_ID
and PACKAGE_NAME = 'SILOS_SIL_GLSEGMENTDIMENSION'
and ETL_USAGE_CODE = :BIAPPS.ETL_USAGE_CODE  ",0,0,0,0
"SERIAL","EU",20,4,"M","","","","",0,0,0,0
"Initialization and log header","IKM BIAPPS Oracle Slowly Changing Dimension",30,0,"D","BIAPPS_DW","BIAPPS_DW","","/* ===================================================
--  IKM BIAPPS Oracle Slowly Changing Dimension
--  11.1.1.11.1.20160419
-- ===================================================

---------------------------------------------------
SCD Dimension Column Behaviour
---------------------------------------------------
Type 1 Columns (updated to match current record if UPDATE_ALL_HISTORY is set):
[SCD Behaviour - overwrite on change, not OBI System Column (on column level flexfield)]
	SCD1_WID
	SEGMENT_LOV_ID
	SEGMENT_VAL_CODE
	CREATED_BY_WID
	CHANGED_BY_WID
	CREATED_ON_DT
	CHANGED_ON_DT
	AUX1_CHANGED_ON_DT
	AUX2_CHANGED_ON_DT
	AUX3_CHANGED_ON_DT
	AUX4_CHANGED_ON_DT
	SRC_EFF_FROM_DT
	SRC_EFF_TO_DT
	DELETE_FLG
	W_INSERT_DT
	W_UPDATE_DT
	ETL_PROC_WID
	SET_ID
	TENANT_ID
	X_CUSTOM
Type 2 Columns (used to detect a change for a new record if TYPE2_FLG is set):
[SCD Behaviour - insert new row on change, not mapped on TARGET]
Change columns (used to exclude unchanged rows from processing):
[Updateable columns, not mapped on TARGET, OBI Change Column (on column level flexfield)
 or if no OBI Change Columns flagged then all updateable columns not mapped on TARGET]
	CHANGED_ON_DT
	AUX1_CHANGED_ON_DT
	AUX2_CHANGED_ON_DT
	AUX3_CHANGED_ON_DT
	AUX4_CHANGED_ON_DT

Has ROW_WID:	Y
 
SCD1 column:
[OBI SCD1 column (column level flexfield), not mapped on TARGET]
	SCD1_WID
ANALYZE_AFTER_INS_NEW_ROWS Option is Set to :	FULL
Bulk Mode Option:	N
DELETE_FLG column present:	Y
Error Logging Option:		N
Setting error table name to E$_2625027_1
Error Logging Supported:		Y
Is this a Dim ETL:		Y
Auto Correction Enabled:		Y

---------------------------------------------------
Work Objects
---------------------------------------------------
Setting flow table name to PRXBI_DW.I$_2625027_1
---------------------------------------------------
Flex allocation change detection logic
---------------------------------------------------

--Exception Occured while running Flex SQL. Please verify all tables are exists in the Warehouse Schema  :java.sql.SQLSyntaxErrorException: ORA-00904: ""TO_DATE_FORMAT"": invalid identifier

Adding Flex allocation change detection Predicate :	

DATASOURCE_NUM_ID column is part of the Unique Key

=================================================== */  ",0,0,0,0
"Diagnostics - Check Load Dates for current ETL_PROC_WID","IKM BIAPPS Oracle Slowly Changing Dimension",40,0,"D","BIAPPS_DW","BIAPPS_DW","","BEGIN
--Check if records exists in W_ETL_LOAD_DATE TABLE for the current ETL_PROC_WID
--ETL being executed outside a generated Load Plan

NULL;
END;  ",0,0,0,0
"Run Alter Session Commands","IKM BIAPPS Oracle Slowly Changing Dimension",50,0,"D","BIAPPS_DW","BIAPPS_DW","","BEGIN

  NULL; 
END;  ",0,0,0,0
"Insert flow into I$ table","IKM BIAPPS Oracle Slowly Changing Dimension",130,0,"D","BIAPPS_DW","BIAPPS_DW","","
/* DETECTION_STRATEGY = NOT_EXISTS */
insert /*+ append */ into PRXBI_DW.I$_2625027_1
(
	SCD1_WID,
	SEGMENT_LOV_ID,
	SEGMENT_VAL_CODE,
	CREATED_BY_WID,
	CHANGED_BY_WID,
	CREATED_ON_DT,
	CHANGED_ON_DT,
	AUX1_CHANGED_ON_DT,
	AUX2_CHANGED_ON_DT,
	AUX3_CHANGED_ON_DT,
	AUX4_CHANGED_ON_DT,
	SRC_EFF_FROM_DT,
	SRC_EFF_TO_DT,
	DELETE_FLG,
	DATASOURCE_NUM_ID,
	INTEGRATION_ID,
	SET_ID,
	TENANT_ID,
	X_CUSTOM,
	EFFECTIVE_FROM_DT,
	EFFECTIVE_TO_DT,
	IND_CURRENT_FLG,
	IND_UPDATE
)
select 	 
	SCD1_WID,
	SEGMENT_LOV_ID,
	SEGMENT_VAL_CODE,
	CREATED_BY_WID,
	CHANGED_BY_WID,
	CREATED_ON_DT,
	CHANGED_ON_DT,
	AUX1_CHANGED_ON_DT,
	AUX2_CHANGED_ON_DT,
	AUX3_CHANGED_ON_DT,
	AUX4_CHANGED_ON_DT,
	SRC_EFF_FROM_DT,
	SRC_EFF_TO_DT,
	DELETE_FLG,
	DATASOURCE_NUM_ID,
	INTEGRATION_ID,
	SET_ID,
	TENANT_ID,
	X_CUSTOM,
	EFFECTIVE_FROM_DT,
	EFFECTIVE_TO_DT,
	'Y'  IND_CURRENT_FLG,
	IND_UPDATE
 from (
select 	
	0 SCD1_WID,
	INLINE_VIEW.SEGMENT_LOV_ID SEGMENT_LOV_ID,
	COALESCE(INLINE_VIEW.SEGMENT_VAL_CODE,'__NOT_APPLICABLE__') SEGMENT_VAL_CODE,
	COALESCE(INLINE_VIEW.ROW_WID,0) CREATED_BY_WID,
	COALESCE(LKP_W_USER_D_LKP_W_USER_D_CH_1.ROW_WID,0) CHANGED_BY_WID,
	INLINE_VIEW.CREATED_ON_DT CREATED_ON_DT,
	INLINE_VIEW.CHANGED_ON_DT CHANGED_ON_DT,
	INLINE_VIEW.AUX1_CHANGED_ON_DT AUX1_CHANGED_ON_DT,
	INLINE_VIEW.AUX2_CHANGED_ON_DT AUX2_CHANGED_ON_DT,
	INLINE_VIEW.AUX3_CHANGED_ON_DT AUX3_CHANGED_ON_DT,
	INLINE_VIEW.AUX4_CHANGED_ON_DT AUX4_CHANGED_ON_DT,
	INLINE_VIEW.SRC_EFF_FROM_DT SRC_EFF_FROM_DT,
	INLINE_VIEW.SRC_EFF_TO_DT SRC_EFF_TO_DT,
	(CASE
WHEN INLINE_VIEW.DELETE_FLG='Y' THEN 'Y'
ELSE 'N'
END ) DELETE_FLG,
	INLINE_VIEW.DATASOURCE_NUM_ID DATASOURCE_NUM_ID,
	INLINE_VIEW.INTEGRATION_ID INTEGRATION_ID,
	INLINE_VIEW.SET_ID SET_ID,
	INLINE_VIEW.TENANT_ID TENANT_ID,
	INLINE_VIEW.X_CUSTOM X_CUSTOM,
	COALESCE(INLINE_VIEW.SRC_EFF_FROM_DT,TO_DATE(SUBSTR('#BIAPPS.LOW_DATE',0,19),'YYYY-MM-DD HH24:MI:SS')) EFFECTIVE_FROM_DT,
	TO_DATE(SUBSTR('#BIAPPS.HI_DT',0,19),'YYYY-MM-DD HH24:MI:SS') EFFECTIVE_TO_DT,
	'I' IND_UPDATE
from (
SELECT 
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.X_CUSTOM AS X_CUSTOM ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.SRC_EFF_TO_DT AS SRC_EFF_TO_DT ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.DATASOURCE_NUM_ID AS DATASOURCE_NUM_ID ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.CREATED_ON_DT AS CREATED_ON_DT ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.CHANGED_ON_DT AS CHANGED_ON_DT ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.SEGMENT_VAL_CODE AS SEGMENT_VAL_CODE ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.AUX3_CHANGED_ON_DT AS AUX3_CHANGED_ON_DT ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.AUX1_CHANGED_ON_DT AS AUX1_CHANGED_ON_DT ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.AUX4_CHANGED_ON_DT AS AUX4_CHANGED_ON_DT ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.TENANT_ID AS TENANT_ID ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.SRC_EFF_FROM_DT AS SRC_EFF_FROM_DT ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.INTEGRATION_ID AS INTEGRATION_ID ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.CREATED_BY_ID AS CREATED_BY_ID ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.DELETE_FLG AS DELETE_FLG ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.SET_ID AS SET_ID ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.SEGMENT_LOV_ID AS SEGMENT_LOV_ID ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.CHANGED_BY_ID AS CHANGED_BY_ID ,
  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.AUX2_CHANGED_ON_DT AS AUX2_CHANGED_ON_DT ,
  LKP_W_USER_D_LKP_W_USER_D_CREA.DATASOURCE_NUM_ID AS DATASOURCE_NUM_ID_1 ,
  LKP_W_USER_D_LKP_W_USER_D_CREA.ROW_WID AS ROW_WID ,
  LKP_W_USER_D_LKP_W_USER_D_CREA.INTEGRATION_ID AS INTEGRATION_ID_1 ,
  LKP_W_USER_D_LKP_W_USER_D_CREA.EFFECTIVE_TO_DT AS EFFECTIVE_TO_DT ,
  LKP_W_USER_D_LKP_W_USER_D_CREA.EFFECTIVE_FROM_DT AS EFFECTIVE_FROM_DT   
FROM 
  
( /* Subselect from SIL_GLSegmentDimension.W_GL_SEGMENT_D
*/

select 
	  

	   (MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.X_CUSTOM))	AS X_CUSTOM,
	W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.SRC_EFF_TO_DT	AS SRC_EFF_TO_DT,
	W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.DATASOURCE_NUM_ID	AS DATASOURCE_NUM_ID,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.CREATED_ON_DT))	AS CREATED_ON_DT,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.CHANGED_ON_DT))	AS CHANGED_ON_DT,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.SEGMENT_VAL_CODE))	AS SEGMENT_VAL_CODE,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.AUX3_CHANGED_ON_DT))	AS AUX3_CHANGED_ON_DT,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.AUX1_CHANGED_ON_DT))	AS AUX1_CHANGED_ON_DT,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.AUX4_CHANGED_ON_DT))	AS AUX4_CHANGED_ON_DT,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.TENANT_ID))	AS TENANT_ID,
	W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.SRC_EFF_FROM_DT	AS SRC_EFF_FROM_DT,
	W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.INTEGRATION_ID	AS INTEGRATION_ID,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.CREATED_BY_ID))	AS CREATED_BY_ID,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.DELETE_FLG))	AS DELETE_FLG,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.SET_ID))	AS SET_ID,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.SEGMENT_LOV_ID))	AS SEGMENT_LOV_ID,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.CHANGED_BY_ID))	AS CHANGED_BY_ID,
	(MAX(W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.AUX2_CHANGED_ON_DT))	AS AUX2_CHANGED_ON_DT
from	PRXBI_DW.W_GL_SEGMENT_DS W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN
where	(1=1)
group by W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.SRC_EFF_TO_DT, W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.DATASOURCE_NUM_ID, W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.SRC_EFF_FROM_DT, W_GL_SEGMENT_DS_SQ_W_GL_SEGMEN.INTEGRATION_ID
)  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG  LEFT OUTER JOIN  
( /* Subselect from SIL_GLSegmentDimension.W_GL_SEGMENT_D
*/

select 
	  

	   W_USER_D_LKP_W_USER_D_CREATED_.DATASOURCE_NUM_ID	AS DATASOURCE_NUM_ID,
	W_USER_D_LKP_W_USER_D_CREATED_.ROW_WID	AS ROW_WID,
	W_USER_D_LKP_W_USER_D_CREATED_.INTEGRATION_ID	AS INTEGRATION_ID,
	W_USER_D_LKP_W_USER_D_CREATED_.EFFECTIVE_TO_DT	AS EFFECTIVE_TO_DT,
	W_USER_D_LKP_W_USER_D_CREATED_.EFFECTIVE_FROM_DT	AS EFFECTIVE_FROM_DT
from	PRXBI_DW.W_USER_D W_USER_D_LKP_W_USER_D_CREATED_
where	(1=1)
 and (W_USER_D_LKP_W_USER_D_CREATED_.DELETE_FLG = 'N')
)  LKP_W_USER_D_LKP_W_USER_D_CREA  
    ON  SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.DATASOURCE_NUM_ID = LKP_W_USER_D_LKP_W_USER_D_CREA.DATASOURCE_NUM_ID
AND	SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.CREATED_BY_ID = LKP_W_USER_D_LKP_W_USER_D_CREA.INTEGRATION_ID
AND	SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.CHANGED_ON_DT >= LKP_W_USER_D_LKP_W_USER_D_CREA.EFFECTIVE_FROM_DT
AND	SQ_W_GL_SEGMENT_DS_SQ_W_GL_SEG.CHANGED_ON_DT < LKP_W_USER_D_LKP_W_USER_D_CREA.EFFECTIVE_TO_DT
  ) INLINE_VIEW  LEFT OUTER JOIN  (
SELECT 
  LKP_W_USER_D_LKP_W_USER_D_CHAN.DATASOURCE_NUM_ID AS DATASOURCE_NUM_ID ,
  LKP_W_USER_D_LKP_W_USER_D_CHAN.ROW_WID AS ROW_WID ,
  LKP_W_USER_D_LKP_W_USER_D_CHAN.INTEGRATION_ID AS INTEGRATION_ID ,
  LKP_W_USER_D_LKP_W_USER_D_CHAN.EFFECTIVE_TO_DT AS EFFECTIVE_TO_DT ,
  LKP_W_USER_D_LKP_W_USER_D_CHAN.EFFECTIVE_FROM_DT AS EFFECTIVE_FROM_DT   
FROM 
  
( /* Subselect from SIL_GLSegmentDimension.W_GL_SEGMENT_D
*/

select 
	  

	   W_USER_D_LKP_W_USER_D_CHANGED_.DATASOURCE_NUM_ID	AS DATASOURCE_NUM_ID,
	W_USER_D_LKP_W_USER_D_CHANGED_.ROW_WID	AS ROW_WID,
	W_USER_D_LKP_W_USER_D_CHANGED_.INTEGRATION_ID	AS INTEGRATION_ID,
	W_USER_D_LKP_W_USER_D_CHANGED_.EFFECTIVE_TO_DT	AS EFFECTIVE_TO_DT,
	W_USER_D_LKP_W_USER_D_CHANGED_.EFFECTIVE_FROM_DT	AS EFFECTIVE_FROM_DT
from	PRXBI_DW.W_USER_D W_USER_D_LKP_W_USER_D_CHANGED_
where	(1=1)
 and (W_USER_D_LKP_W_USER_D_CHANGED_.DELETE_FLG = 'N')
)  LKP_W_USER_D_LKP_W_USER_D_CHAN  
  ) LKP_W_USER_D_LKP_W_USER_D_CH_1  
    ON  INLINE_VIEW.DATASOURCE_NUM_ID = LKP_W_USER_D_LKP_W_USER_D_CH_1.DATASOURCE_NUM_ID
AND	INLINE_VIEW.CHANGED_BY_ID = LKP_W_USER_D_LKP_W_USER_D_CH_1.INTEGRATION_ID
AND	INLINE_VIEW.CHANGED_ON_DT >= LKP_W_USER_D_LKP_W_USER_D_CH_1.EFFECTIVE_FROM_DT
AND	INLINE_VIEW.CHANGED_ON_DT < LKP_W_USER_D_LKP_W_USER_D_CH_1.EFFECTIVE_TO_DT
where	(1=1)
) S

where NOT EXISTS 
	( select 1 from PRXBI_DW.W_GL_SEGMENT_D T
	where	T.SRC_EFF_FROM_DT	= S.SRC_EFF_FROM_DT
	and	T.DATASOURCE_NUM_ID	= S.DATASOURCE_NUM_ID
	and	T.INTEGRATION_ID	= S.INTEGRATION_ID 

	and	(CASE WHEN T.CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE T.CHANGED_ON_DT END = CASE WHEN S.CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE S.CHANGED_ON_DT END)
	and	(CASE WHEN T.AUX1_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE T.AUX1_CHANGED_ON_DT END = CASE WHEN S.AUX1_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE S.AUX1_CHANGED_ON_DT END)
	and	(CASE WHEN T.AUX2_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE T.AUX2_CHANGED_ON_DT END = CASE WHEN S.AUX2_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE S.AUX2_CHANGED_ON_DT END)
	and	(CASE WHEN T.AUX3_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE T.AUX3_CHANGED_ON_DT END = CASE WHEN S.AUX3_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE S.AUX3_CHANGED_ON_DT END)
	and	(CASE WHEN T.AUX4_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE T.AUX4_CHANGED_ON_DT END = CASE WHEN S.AUX4_CHANGED_ON_DT IS NULL THEN TO_DATE('01-01-3714', 'DD/MM/YYYY') ELSE S.AUX4_CHANGED_ON_DT END)

 
        )

   ",0,0,0,0
"Alter Session - Char Semantics","IKM BIAPPS Oracle Slowly Changing Dimension",60,0,"D","BIAPPS_DW","BIAPPS_DW","","

/* Below statement ensure table lengths are proper for Oracle Unicode Enabled DBs.
 */
BEGIN
EXECUTE IMMEDIATE 'ALTER SESSION SET NLS_DATE_FORMAT=''DD/MON/YYYY HH24:MI:SS''';
EXECUTE IMMEDIATE 'ALTER SESSION SET NLS_LENGTH_SEMANTICS=CHAR'  ; 
END;

  ",0,0,0,0
"Diagnostics - Create Error Table","IKM BIAPPS Oracle Slowly Changing Dimension",80,0,"D","BIAPPS_DW","BIAPPS_DW","","
/* Creates the error table during Error Logging Mode */
CREATE TABLE PRXBI_DW.E$_2625027_1
( 
	ORA_ERR_NUMBER$		NUMBER,         
	ORA_ERR_MESG$		VARCHAR2(2000),
	ORA_ERR_ROWID$		UROWID,
	ORA_ERR_OPTYP$		VARCHAR2(2),
	ORA_ERR_TAG$		VARCHAR2(2000),
	IND_UPDATE			VARCHAR2(10),
	DIAGNOSTIC_ROWID		UROWID,
	ERROR_TYPE_IND		VARCHAR2(100),	
	AUTOCORRECT_IND		VARCHAR2(100)  DEFAULT 'N',
	AUTOCORRECT_CODE		VARCHAR2(2000),
	AUTOCORRECT_DESC		VARCHAR2(2000),
	COMMITTED			VARCHAR2(10) DEFAULT '0',
	ROW_WID		 VARCHAR2(4000),
	 SCD1_WID		 VARCHAR2(4000),
	 SEGMENT_LOV_ID		 VARCHAR2(4000),
	 SEGMENT_VAL_CODE		 VARCHAR2(4000),
	 CREATED_BY_WID		 VARCHAR2(4000),
	 CHANGED_BY_WID		 VARCHAR2(4000),
	 CREATED_ON_DT		 VARCHAR2(4000),
	 CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX1_CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX2_CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX3_CHANGED_ON_DT		 VARCHAR2(4000),
	 AUX4_CHANGED_ON_DT		 VARCHAR2(4000),
	 SRC_EFF_FROM_DT		 VARCHAR2(4000),
	 SRC_EFF_TO_DT		 VARCHAR2(4000),
	 EFFECTIVE_FROM_DT		 VARCHAR2(4000),
	 EFFECTIVE_TO_DT		 VARCHAR2(4000),
	 
	 CURRENT_FLG		 VARCHAR2(4000),
	 W_INSERT_DT		 VARCHAR2(4000),
	 W_UPDATE_DT		 VARCHAR2(4000),
	 DATASOURCE_NUM_ID		 VARCHAR2(4000),
	 ETL_PROC_WID		 VARCHAR2(4000),
	 INTEGRATION_ID		 VARCHAR2(4000),
	 SET_ID		 VARCHAR2(4000),
	 TENANT_ID		 VARCHAR2(4000),
	 X_CUSTOM		 VARCHAR2(4000),
	DELETE_FLG			VARCHAR2(4000)
) NOLOGGING
  ",0,0,0,0
