"TASK_NAME1","TASK_NAME2","SCEN_TASK_NO","SOURCE","TASK_STATUS","SOURCE_1","TARGET","EXEC_SQL_ON_SOURCE","EXEC_SQL_ON_TARGET","NUMBER_OF_INSERT","NUMBER_OF_UPDATE","NUMBER_OF_DELETE","NB_ERR"
"Variable","IS_INCREMENTAL",1,0,"D","","BIAPPS_DW","","SELECT	(CASE
WHEN COUNT(*)>0 THEN 'Y'
ELSE 'N'
END )
FROM	PRXBI_DW.W_ETL_LOAD_DATES
WHERE	PACKAGE_NAME = 'SILOS_SIL_GLBALANCEFACT'
AND	(DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
OR	DATASOURCE_NUM_ID=#BIAPPS.WH_DATASOURCE_NUM_ID)
AND 	ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'
AND	COMMITTED='1'",0,0,0,0
"Variable","PRUNE_DAYS",2,0,"D","","BIAPPS_BIACOMP","","",0,0,0,0
"Variable","LAST_EXTRACT_DATE",3,0,"D","","BIAPPS_DW","","SELECT
COALESCE(TO_CHAR(MIN(LAST_MAX_DATE), 'YYYY-MM-DD HH24:MI:SS'),'1970-01-01 00:00:00')
FROM   PRXBI_DW.W_ETL_LOAD_DATES
WHERE PACKAGE_NAME = 'SILOS_SIL_GLBALANCEFACT'
AND       DATASOURCE_NUM_ID=#BIAPPS.DATASOURCE_NUM_ID
AND       ETL_USAGE_CODE = '#BIAPPS.ETL_USAGE_CODE'",0,0,0,0
"Delete matched rows","IKM BIAPPS Oracle Fact Incremental Update",410,0,"D","BIAPPS_DW","BIAPPS_DW","","
/* Records are not deleted when running in UPDATE mode */
  ",0,0,0,0
"Variable","UTIL_PARTDDL_TABLE_NAME",4,0,"D","","","","",0,0,0,0
"Procedure","Load Partition Metadata",5,0,"D","","BIAPPS_DW","","/* ===================================================
--  Load Partition Metadata 
--  11.1.1.11.0.20150923 
-- ===================================================

---------------------------------------------------
Options and Variables
---------------------------------------------------
Incremental:		Y
Table Name:		W_GL_BALANCE_F
Data schema:	PRXBI_DW


=================================================== */",0,0,0,0
"Procedure","Load Partition Metadata",6,0,"D","","BIAPPS_DW","","begin

  execute immediate '
create or replace package PRXBI_DW.OBIA_PARTITION_2625555 as

function get_column_expr
 (p_owner            in varchar2,
  p_table_name       in varchar2,
  p_column_name   in varchar2)
     return varchar2;

function get_date_expr
 (p_expr   in varchar2)
     return date;

function get_high_value
 (p_owner            in varchar2,
  p_table_name       in varchar2,
  p_partition_name   in varchar2)
     return varchar2;

function get_index_high_value
 (p_owner            in varchar2,
  p_index_name       in varchar2,
  p_partition_name   in varchar2)
     return varchar2;

end OBIA_PARTITION_2625555;
';

  execute immediate '
create or replace package body PRXBI_DW.OBIA_PARTITION_2625555 as

function get_column_expr
 (p_owner            in varchar2,
  p_table_name       in varchar2,
  p_column_name   in varchar2)
     return varchar2 is

  cursor col_expr_csr is
  select data_default
  from all_tab_columns
  where owner = p_owner
  and table_name = p_table_name
  and column_name = p_column_name;

  l_col_expr         long;

begin

  open col_expr_csr;
  fetch col_expr_csr into l_col_expr;
  close col_expr_csr;
  
  return substr(l_col_expr, 1, 4000);

end get_column_expr;

function get_date_expr
 (p_expr   in varchar2)
     return date is

  l_date date;

begin

  if p_expr = ''MAXVALUE'' then
    l_date := TO_DATE(''01-JAN-3714'',''DD-MON-YYYY'');
  else
    execute immediate ''SELECT '' || p_expr || '' FROM DUAL'' INTO l_date;
  end if;

  return l_date;

end get_date_expr;

function get_high_value
 (p_owner            in varchar2,
  p_table_name       in varchar2,
  p_partition_name   in varchar2)
     return varchar2 is

  cursor high_val_csr is
  select high_value, high_value_length
  from all_tab_partitions
  where table_owner = p_owner
  and table_name = p_table_name
  and partition_name = p_partition_name;

  l_high_value         long;
  l_high_value_length  number;

begin

  open high_val_csr;
  fetch high_val_csr into l_high_value, l_high_value_length;
  close high_val_csr;
  
  return substr(l_high_value, 1, l_high_value_length);
  
end get_high_value;

function get_index_high_value
 (p_owner            in varchar2,
  p_index_name       in varchar2,
  p_partition_name   in varchar2)
     return varchar2 is

  cursor high_val_csr is
  select high_value, high_value_length
  from all_ind_partitions
  where index_owner = p_owner
  and index_name = p_index_name
  and partition_name = p_partition_name;

  l_high_value         long;
  l_high_value_length  number;

begin

  open high_val_csr;
  fetch high_val_csr into l_high_value, l_high_value_length;
  close high_val_csr;
  
  return substr(l_high_value, 1, l_high_value_length);

end get_index_high_value;

end OBIA_PARTITION_2625555;
';

end;",0,0,0,0
"Procedure","Load Partition Metadata",8,3,"D","","BIAPPS_DW","","MERGE INTO PRXBI_DW.W_ETL_PART_TABLES PT
  USING
   (SELECT
     TABLE_NAME,
     PARTITIONING_TYPE,
     INTERVAL,
     SUBPARTITIONING_TYPE,
     KEY_COLUMN_NAME,
     KEY_COLUMN_DATA_TYPE,
     CREATED,
     LAST_DDL_TIME,
     NUMBER_OF_PARTITIONS,
     NEXT_POWER_OF_TWO,
     KEY_COLUMN_EXPRESSION,
     INCR_NUM_ROWS,
     NUM_ROWS
    FROM
     (SELECT
       T.TABLE_NAME,
       T.PARTITIONING_TYPE,
       T.INTERVAL,
       T.SUBPARTITIONING_TYPE,
       C.COLUMN_NAME KEY_COLUMN_NAME,
       C.DATA_TYPE KEY_COLUMN_DATA_TYPE,
       PRXBI_DW.OBIA_PARTITION_2625555.GET_COLUMN_EXPR(C.OWNER, C.TABLE_NAME, C.COLUMN_NAME) KEY_COLUMN_EXPRESSION,
       CREATED,
       LAST_DDL_TIME, 
       T.PARTITION_COUNT NUMBER_OF_PARTITIONS,
       POWER(2, CEIL(LOG(2, T.PARTITION_COUNT)))  NEXT_POWER_OF_TWO,
       0 INCR_NUM_ROWS,
      (SELECT NUM_ROWS FROM ALL_TABLES WHERE TABLE_NAME=T.TABLE_NAME AND OWNER=T.OWNER) NUM_ROWS
      FROM
       ALL_PART_TABLES T,
       ALL_PART_KEY_COLUMNS KC,
       ALL_TAB_COLUMNS C,
       ALL_OBJECTS O
      WHERE T.TABLE_NAME = 'W_GL_BALANCE_F'
      AND T.OWNER = 'PRXBI_DW'
      AND O.OBJECT_NAME = T.TABLE_NAME
      AND O.OBJECT_TYPE = 'TABLE'
      AND O.OWNER = T.OWNER
      AND KC.OBJECT_TYPE = 'TABLE'
      AND KC.NAME = T.TABLE_NAME
      AND KC.OWNER = T.OWNER
      AND C.TABLE_NAME = KC.NAME
      AND C.COLUMN_NAME = KC.COLUMN_NAME
      AND C.OWNER = T.OWNER
     )
    WHERE ROWNUM = 1
   ) S
  ON (PT.TABLE_NAME = S.TABLE_NAME)
  WHEN MATCHED THEN
    UPDATE SET
      PT.PARTITIONING_TYPE = S.PARTITIONING_TYPE,
      PT.INTERVAL = CASE WHEN PT.PARTITIONING_TYPE = S.PARTITIONING_TYPE AND PT.KEY_COLUMN_NAME = S.KEY_COLUMN_NAME
                         THEN NVL(S.INTERVAL, PT.INTERVAL)
                         ELSE S.INTERVAL
                    END,
      PT.INTERVAL_CURRENT = S.INTERVAL,
      PT.SUBPARTITIONING_TYPE = S.SUBPARTITIONING_TYPE,
      PT.KEY_COLUMN_NAME = S.KEY_COLUMN_NAME,
      PT.KEY_COLUMN_DATA_TYPE = S.KEY_COLUMN_DATA_TYPE,
      PT.KEY_COLUMN_EXPRESSION = S.KEY_COLUMN_EXPRESSION,
      PT.NUMBER_OF_PARTITIONS = S.NUMBER_OF_PARTITIONS,
      PT.NEXT_POWER_OF_TWO = S.NEXT_POWER_OF_TWO,
      PT.LAST_DDL_TIME = S.LAST_DDL_TIME,
      PT.W_UPDATE_DT = SYSDATE,
      PT.ETL_PROC_WID = #BIAPPS.ETL_PROC_WID,
      PT.LOAD_PLAN_ID = #BIAPPS.EXECUTION_ID,
      PT.NUM_ROWS=S.NUM_ROWS
  WHEN NOT MATCHED THEN 
    INSERT
     (PT.TABLE_NAME,
      PT.PARTITIONING_TYPE,
      PT.INTERVAL,
      PT.INTERVAL_CURRENT,
      PT.SUBPARTITIONING_TYPE,
      PT.KEY_COLUMN_NAME,
      PT.KEY_COLUMN_DATA_TYPE,
      PT.KEY_COLUMN_EXPRESSION,
      PT.NUMBER_OF_PARTITIONS,
      PT.NEXT_POWER_OF_TWO,
      PT.LAST_DDL_TIME,
      PT.CREATED,
      PT.W_INSERT_DT,
      PT.W_UPDATE_DT,
      PT.ETL_PROC_WID,
      PT.LOAD_PLAN_ID,
      PT.INCR_NUM_ROWS, 
      PT.NUM_ROWS)
     VALUES
     (S.TABLE_NAME,
      S.PARTITIONING_TYPE,
      S.INTERVAL,
      S.INTERVAL,
      S.SUBPARTITIONING_TYPE,
      S.KEY_COLUMN_NAME,
      S.KEY_COLUMN_DATA_TYPE,
      S.KEY_COLUMN_EXPRESSION,
      S.NUMBER_OF_PARTITIONS,
      S.NEXT_POWER_OF_TWO,
      S.LAST_DDL_TIME,
      S.CREATED,
      SYSDATE,
      SYSDATE,
      #BIAPPS.ETL_PROC_WID,
      #BIAPPS.EXECUTION_ID,
      S.INCR_NUM_ROWS,  
      S.NUM_ROWS)",0,0,0,0
"Procedure","Load Partition Metadata",7,0,"D","","BIAPPS_DW","","DECLARE

  CURSOR part_csr IS
  SELECT count(*)
  FROM ALL_PART_TABLES t
  WHERE t.TABLE_NAME = 'W_GL_BALANCE_F'
  AND t.OWNER = 'PRXBI_DW';

  l_part_ind  NUMBER;

BEGIN

/* Delete obsolete table partitions */
  DELETE FROM PRXBI_DW.W_ETL_PART_TABLE_PARTS T
  WHERE T.TABLE_NAME = 'W_GL_BALANCE_F'
  AND NOT EXISTS
   (SELECT 1 FROM ALL_TAB_PARTITIONS P
    WHERE P.TABLE_OWNER = 'PRXBI_DW'
    AND P.TABLE_NAME = T.TABLE_NAME
    AND P.PARTITION_NAME = T.PARTITION_NAME);

/* Delete obsolete index partitions */
  DELETE FROM PRXBI_DW.W_ETL_PART_INDEX_PARTS I
  WHERE I.TABLE_NAME = 'W_GL_BALANCE_F'
  AND NOT EXISTS
   (SELECT 1 FROM ALL_IND_PARTITIONS P
    WHERE P.INDEX_OWNER = 'PRXBI_DW'
    AND P.INDEX_NAME = I.INDEX_NAME
    AND P.PARTITION_NAME = I.INDEX_PARTITION_NAME);

/* Delete all partition metadata if table is no longer partitioned */
  OPEN part_csr;
  FETCH part_csr INTO l_part_ind;
  CLOSE part_csr;

  IF l_part_ind = 0 THEN
  
    DELETE FROM PRXBI_DW.W_ETL_PART_TABLES
    WHERE TABLE_NAME = 'W_GL_BALANCE_F';

    DELETE FROM PRXBI_DW.W_ETL_PART_TABLE_PARTS
    WHERE TABLE_NAME = 'W_GL_BALANCE_F';

    DELETE FROM PRXBI_DW.W_ETL_PART_INDEX_PARTS
    WHERE TABLE_NAME = 'W_GL_BALANCE_F';

  END IF;

END;",0,0,0,0
"Procedure","Load Partition Metadata",9,3,"D","","BIAPPS_DW","","BEGIN

/* Refresh table partitions */
MERGE INTO PRXBI_DW.W_ETL_PART_TABLE_PARTS PTP
  USING
   (SELECT
     TABLE_NAME
    ,PARTITION_NAME
    ,INTERVAL_GENERATED
    ,HIGH_VALUE
    ,CASE WHEN KEY_COLUMN_DATA_TYPE = 'NUMBER' AND PARTITIONING_TYPE <> 'LIST'
          THEN TO_NUMBER(HIGH_VALUE)
     END  HIGH_VALUE_NUMBER
    ,CASE WHEN KEY_COLUMN_DATA_TYPE = 'DATE' AND PARTITIONING_TYPE <> 'LIST'
          THEN PRXBI_DW.OBIA_PARTITION_2625555.GET_DATE_EXPR(HIGH_VALUE)
     END  HIGH_VALUE_DATE
    ,CREATED
    ,LAST_DDL_TIME
    ,INCR_NUM_ROWS
    ,NUM_ROWS
    FROM
     (SELECT
       T.TABLE_NAME,
       P.PARTITION_NAME,
       P.INTERVAL INTERVAL_GENERATED,
       T.KEY_COLUMN_DATA_TYPE,
       CASE WHEN T.PARTITIONING_TYPE = 'HASH'
            THEN TO_CHAR(P.PARTITION_POSITION)
            ELSE PRXBI_DW.OBIA_PARTITION_2625555.GET_HIGH_VALUE(P.TABLE_OWNER, P.TABLE_NAME, P.PARTITION_NAME)
       END  HIGH_VALUE,
       O.CREATED,
       O.LAST_DDL_TIME,
       T.PARTITIONING_TYPE,
       0 INCR_NUM_ROWS,
       P.NUM_ROWS
      FROM
       ALL_OBJECTS O,
       PRXBI_DW.W_ETL_PART_TABLES T,
       ALL_TAB_PARTITIONS P
      WHERE O.OWNER = 'PRXBI_DW'
      AND O.OBJECT_TYPE = 'TABLE PARTITION'
      AND O.OBJECT_NAME = 'W_GL_BALANCE_F'
      AND T.TABLE_NAME = O.OBJECT_NAME
      AND P.TABLE_OWNER = O.OWNER
      AND P.TABLE_NAME = O.OBJECT_NAME
      AND P.PARTITION_NAME = O.SUBOBJECT_NAME

     AND O.LAST_DDL_TIME > TO_DATE(SUBSTR('#BIAPPS.LAST_EXTRACT_DATE',0,19),'YYYY-MM-DD HH24:MI:SS')

     )
   ) S
  ON (PTP.TABLE_NAME = S.TABLE_NAME AND PTP.PARTITION_NAME = S.PARTITION_NAME)
  WHEN MATCHED THEN
    UPDATE SET
     PTP.INTERVAL_GENERATED = S.INTERVAL_GENERATED,
     PTP.HIGH_VALUE = S.HIGH_VALUE,
     PTP.HIGH_VALUE_NUMBER = S.HIGH_VALUE_NUMBER,
     PTP.HIGH_VALUE_DATE = S.HIGH_VALUE_DATE,
     PTP.LAST_DDL_TIME = S.LAST_DDL_TIME,
     PTP.W_UPDATE_DT = SYSDATE,
     PTP.ETL_PROC_WID = #BIAPPS.ETL_PROC_WID,
     PTP.LOAD_PLAN_ID = #BIAPPS.EXECUTION_ID,
     PTP.NUM_ROWS= S.NUM_ROWS
  WHEN NOT MATCHED THEN
    INSERT
     (PTP.TABLE_NAME,
      PTP.PARTITION_NAME,
      PTP.INTERVAL_GENERATED,
      PTP.HIGH_VALUE,
      PTP.HIGH_VALUE_NUMBER,
      PTP.HIGH_VALUE_DATE,
      PTP.CREATED,
      PTP.LAST_DDL_TIME,
      PTP.W_INSERT_DT,
      PTP.W_UPDATE_DT,
      PTP.ETL_PROC_WID,
      PTP.LOAD_PLAN_ID,
      PTP.INCR_NUM_ROWS,
      PTP.NUM_ROWS)
     VALUES
     (S.TABLE_NAME,
      S.PARTITION_NAME,
      S.INTERVAL_GENERATED,
      S.HIGH_VALUE,
      S.HIGH_VALUE_NUMBER,
      S.HIGH_VALUE_DATE,
      S.CREATED,
      S.LAST_DDL_TIME,
      SYSDATE,
      SYSDATE,
      #BIAPPS.ETL_PROC_WID,
      #BIAPPS.EXECUTION_ID,
      S.INCR_NUM_ROWS,
      S.NUM_ROWS);

/* Refresh Index Partitions */
MERGE INTO PRXBI_DW.W_ETL_PART_INDEX_PARTS PIP
  USING
   (SELECT
     PI.INDEX_NAME
    ,PI.INDEX_PARTITION_NAME
    ,PI.TABLE_NAME
    ,PT.PARTITION_NAME TABLE_PARTITION_NAME
    ,PI.INTERVAL_GENERATED
    ,PI.HIGH_VALUE
    ,PT.HIGH_VALUE_NUMBER
    ,PT.HIGH_VALUE_DATE
    ,PI.CREATED
    ,PI.LAST_DDL_TIME
    FROM
     PRXBI_DW.W_ETL_PART_TABLE_PARTS PT,
     (SELECT /*+ NO_MERGE ORDERED */
       I.INDEX_NAME,
       I.TABLE_NAME,
       IP.PARTITION_NAME INDEX_PARTITION_NAME,
       IP.INTERVAL INTERVAL_GENERATED,
       CASE WHEN T.PARTITIONING_TYPE = 'HASH'
            THEN TO_CHAR(IP.PARTITION_POSITION)
            ELSE PRXBI_DW.OBIA_PARTITION_2625555.GET_INDEX_HIGH_VALUE(IP.INDEX_OWNER, IP.INDEX_NAME, IP.PARTITION_NAME)
       END  HIGH_VALUE,
       O.CREATED,
       O.LAST_DDL_TIME
      FROM
       ALL_INDEXES I,
       ALL_OBJECTS O,
       ALL_IND_PARTITIONS IP,
       PRXBI_DW.W_ETL_PART_TABLES T
      WHERE I.OWNER = 'PRXBI_DW'
      AND I.TABLE_NAME = 'W_GL_BALANCE_F'
      AND O.OWNER = I.OWNER
      AND O.OBJECT_TYPE = 'INDEX PARTITION'
      AND O.OBJECT_NAME = I.INDEX_NAME
      AND IP.INDEX_NAME = O.OBJECT_NAME
      AND IP.INDEX_OWNER = O.OWNER
      AND IP.PARTITION_NAME = O.SUBOBJECT_NAME
      AND T.TABLE_NAME = I.TABLE_NAME

      AND O.LAST_DDL_TIME > TO_DATE(SUBSTR('#BIAPPS.LAST_EXTRACT_DATE',0,19),'YYYY-MM-DD HH24:MI:SS')

     ) PI
    WHERE PT.TABLE_NAME = PI.TABLE_NAME
    AND PT.HIGH_VALUE = PI.HIGH_VALUE 
   ) S
  ON (PIP.INDEX_NAME = S.INDEX_NAME AND PIP.INDEX_PARTITION_NAME = S.INDEX_PARTITION_NAME)
  WHEN MATCHED THEN
    UPDATE SET
      PIP.TABLE_NAME = S.TABLE_NAME,
	    PIP.TABLE_PARTITION_NAME = S.TABLE_PARTITION_NAME,
	    PIP.INTERVAL_GENERATED = S.INTERVAL_GENERATED,
	    PIP.HIGH_VALUE = S.HIGH_VALUE,
	    PIP.HIGH_VALUE_NUMBER = S.HIGH_VALUE_NUMBER,
	    PIP.HIGH_VALUE_DATE = S.HIGH_VALUE_DATE,
	    PIP.LAST_DDL_TIME = S.LAST_DDL_TIME,
	    PIP.W_UPDATE_DT = SYSDATE,
	    PIP.ETL_PROC_WID = #BIAPPS.ETL_PROC_WID,
	    PIP.LOAD_PLAN_ID = #BIAPPS.EXECUTION_ID
  WHEN NOT MATCHED THEN
    INSERT
     (PIP.INDEX_NAME,
	    PIP.TABLE_NAME,
	    PIP.INDEX_PARTITION_NAME,
	    PIP.TABLE_PARTITION_NAME,
	    PIP.INTERVAL_GENERATED,
	    PIP.HIGH_VALUE,
	    PIP.HIGH_VALUE_NUMBER,
	    PIP.HIGH_VALUE_DATE,
	    PIP.CREATED,
	    PIP.LAST_DDL_TIME,
	    PIP.W_INSERT_DT,
	    PIP.W_UPDATE_DT,
	    PIP.ETL_PROC_WID,
	    PIP.LOAD_PLAN_ID)
     VALUES
     (S.INDEX_NAME,
	    S.TABLE_NAME,
	    S.INDEX_PARTITION_NAME,
	    S.TABLE_PARTITION_NAME,
	    S.INTERVAL_GENERATED,
	    S.HIGH_VALUE,
	    S.HIGH_VALUE_NUMBER,
	    S.HIGH_VALUE_DATE,
	    S.CREATED,
	    S.LAST_DDL_TIME,
	    SYSDATE,
	    SYSDATE,
	    #BIAPPS.ETL_PROC_WID,
	    #BIAPPS.EXECUTION_ID);

/* Sets numeric Low Values to previous record's High Value */
UPDATE PRXBI_DW.W_ETL_PART_TABLE_PARTS T
SET T.LOW_VALUE_NUMBER =
 (SELECT MAX(X.HIGH_VALUE_NUMBER)
  FROM PRXBI_DW.W_ETL_PART_TABLE_PARTS X
  WHERE X.HIGH_VALUE_NUMBER < T.HIGH_VALUE_NUMBER
  AND X.TABLE_NAME = T.TABLE_NAME)
WHERE T.TABLE_NAME = 'W_GL_BALANCE_F'

AND T.HIGH_VALUE_NUMBER >=
 (SELECT MIN(T2.HIGH_VALUE_NUMBER)
  FROM PRXBI_DW.W_ETL_PART_TABLE_PARTS T2
  WHERE T2.TABLE_NAME = 'W_GL_BALANCE_F'
  AND T2.ETL_PROC_WID = #BIAPPS.ETL_PROC_WID)

AND T.HIGH_VALUE_NUMBER IS NOT NULL;

/* Sets date Low Values to previous record's High Value */
UPDATE PRXBI_DW.W_ETL_PART_TABLE_PARTS T
SET T.LOW_VALUE_DATE =
 (SELECT MAX(X.HIGH_VALUE_DATE)
  FROM PRXBI_DW.W_ETL_PART_TABLE_PARTS X
  WHERE X.HIGH_VALUE_DATE < T.HIGH_VALUE_DATE
  AND X.TABLE_NAME = T.TABLE_NAME)
WHERE T.TABLE_NAME = 'W_GL_BALANCE_F'

AND T.HIGH_VALUE_DATE >=
 (SELECT MIN(T2.HIGH_VALUE_DATE)
  FROM PRXBI_DW.W_ETL_PART_TABLE_PARTS T2
  WHERE T2.TABLE_NAME = 'W_GL_BALANCE_F'
  AND T2.ETL_PROC_WID = #BIAPPS.ETL_PROC_WID)

AND T.HIGH_VALUE_DATE IS NOT NULL;

/* Update interval start ranges */
UPDATE PRXBI_DW.W_ETL_PART_TABLES T
SET (T.INTERVAL_START_NUMBER, T.INTERVAL_START_DATE) =
 (SELECT MAX(P.HIGH_VALUE_NUMBER), MAX(P.HIGH_VALUE_DATE)
  FROM PRXBI_DW.W_ETL_PART_TABLE_PARTS P
  WHERE P.INTERVAL_GENERATED = 'NO'
  AND P.TABLE_NAME = T.TABLE_NAME)
WHERE T.INTERVAL IS NOT NULL
AND T.PARTITIONING_TYPE = 'RANGE'
AND T.TABLE_NAME = 'W_GL_BALANCE_F';

/* Drop old index partitions */
DELETE FROM PRXBI_DW.W_ETL_PART_INDEX_PARTS I
WHERE I.ROWID IN
 (SELECT I2.ROWID
  FROM PRXBI_DW.W_ETL_PART_INDEX_PARTS I2, PRXBI_DW.W_ETL_PART_INDEX_PARTS I3
  WHERE I2.INDEX_NAME = I3.INDEX_NAME
  AND I2.HIGH_VALUE = I3.HIGH_VALUE
  AND I2.LAST_DDL_TIME < I3.LAST_DDL_TIME
  AND I2.TABLE_NAME = 'W_GL_BALANCE_F');

END;",0,0,0,0
